Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Dixon Machado,HOU,5,19,17,4,1,0,0,2,2,2,3,0,0,0,,0.237,0.31,0.336,0.646,0.289,88,,0,-0.3,,-0.3,-0.1,0,,999,11472
Davis Wendzel,TEX,3,13,12,2,0,0,0,1,1,1,4,0,0,0,,0.204,0.271,0.345,0.617,0.273,76,,0,0,,-0.4,0.2,0,,999,sa3011890
Andruw Monasterio,MIL,2,7,6,1,0,0,0,1,1,1,2,0,0,0,,0.229,0.303,0.336,0.639,0.285,82,,0,0,,-0.1,0.1,0,,999,sa830359
Clay Dungan,KCR,3,13,12,3,1,0,0,1,1,1,3,0,0,0,,0.231,0.293,0.339,0.633,0.281,78,,0,0,,-0.3,0.1,0,,999,sa1169803
Niko Goodrum,,6,27,24,5,1,0,1,3,2,2,9,0,1,0,,0.203,0.282,0.323,0.605,0.271,74,,0,-0.1,,-0.8,0,0,,999,12092
Tyler Wade,,2,6,6,1,0,0,0,1,1,1,1,0,0,0,,0.227,0.3,0.325,0.625,0.28,86,,0,-0.1,,-0.1,0,0,,999,15730
Jermaine Palacios,DET,2,6,6,1,0,0,0,1,1,0,2,0,0,0,,0.229,0.284,0.368,0.652,0.287,87,,0,-0.1,,-0.1,0,0,,999,18371
Jose Barrero,CIN,19,76,70,14,3,0,2,7,8,4,26,1,1,1,,0.207,0.26,0.349,0.609,0.268,63,,0,-0.2,,-3.2,0.8,0,,999,23378
Orelvis Martinez,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.278,0.441,0.719,0.311,103,,0,0,,0,0,0,,999,sa3010692
Brayan Rocchio,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.308,0.392,0.7,0.307,100,,0,0,,0,0,0,,999,sa3005898
Jordan Lawlar,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.306,0.392,0.697,0.305,94,,0,0,,0,0,0,,999,sa3017662
Ronny Mauricio,NYM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.274,0.404,0.679,0.294,94,,0,0,,0,0,0,,999,sa3006887
Jose Rodriguez,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.253,0.297,0.39,0.687,0.299,94,,0,0,,0,0,0,,999,sa3005788
Angel Martinez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.306,0.375,0.681,0.3,95,,0,0,,0,0,0,,999,sa3008762
Austin Martin,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.23,0.326,0.324,0.65,0.295,93,,0,0,,0,0,0,,999,sa3014454
Corey Joyce,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.228,0.311,0.353,0.665,0.297,94,,0,0,,0,0,0,,999,sa3010596
Josh Morgan,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.214,0.294,0.352,0.646,0.288,85,,0,0,,0,0,0,,999,sa828797
Jose Caballero,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.213,0.313,0.326,0.639,0.289,92,,0,0,,0,0,0,,999,sa3004817
Donovan Walton,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.244,0.315,0.382,0.697,0.307,99,,0,0,,0,0,0,,999,19314
C.J. Hinojosa,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.247,0.3,0.378,0.679,0.296,91,,0,0,,0,0,0,,999,sa658616
Luke Waddell,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.249,0.312,0.367,0.679,0.299,90,,0,0,,0,0,0,,999,sa3017075
Matt McLain,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.308,0.384,0.692,0.305,89,,0,0,,0,0,0,,999,sa3017154
Osleivis Basabe,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.259,0.309,0.364,0.673,0.297,98,,0,0,,0,0,0,,999,sa3006594
Kramer Robertson,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.21,0.319,0.32,0.639,0.291,90,,0,0,,0,0,0,,999,20022
Masyn Winn,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.233,0.293,0.357,0.651,0.287,87,,0,0,,0,0,0,,999,sa3014506
Jose Tena,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.249,0.288,0.386,0.673,0.293,90,,0,0,,0,0,0,,999,sa3005482
Jesus Bastidas,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.231,0.296,0.389,0.685,0.301,96,,0,0,,0,0,0,,999,sa916969
Zach Neto,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.244,0.295,0.376,0.671,0.295,89,,0,0,,0,0,0,,999,sa3019855
Tristan Gray,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.204,0.263,0.391,0.654,0.285,89,,0,0,,0,0,0,,999,sa829756
Noelvi Marte,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.233,0.298,0.392,0.69,0.302,87,,0,0,,0,0,0,,999,sa3008745
Trey Sweeney,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.219,0.289,0.364,0.653,0.288,87,,0,0,,0,0,0,,999,sa3016973
Luisangel Acuña,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.232,0.295,0.356,0.651,0.288,86,,0,0,,0,0,0,,999,sa3008765
Max Moroff,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.225,0.309,0.385,0.693,0.306,98,,0,0,,0,0,0,,999,14556
Colson Montgomery,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.229,0.296,0.361,0.656,0.291,88,,0,0,,0,0,0,,999,sa3017170
Jonathan Araúz,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.235,0.295,0.366,0.661,0.292,89,,0,0,,0,0,0,,999,20275
Taylor Motter,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.215,0.305,0.389,0.694,0.306,100,,0,0,,0,0,0,,999,12399
Yairo Munoz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.271,0.302,0.399,0.702,0.305,97,,0,0,,0,0,0,,999,16313
Julio Carreras,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.261,0.304,0.41,0.714,0.311,85,,0,0,,0,0,0,,999,sa3005598
Andrew Navigato,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.293,0.38,0.673,0.296,93,,0,0,,0,0,0,,999,sa3010703
Daniel Pinero,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.224,0.302,0.371,0.673,0.298,92,,0,0,,0,0,0,,999,sa738204
Liover Peguero,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.291,0.366,0.657,0.288,83,,0,0,,0,0,0,,999,24273
Tyler Fitzgerald,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.218,0.277,0.371,0.648,0.285,84,,0,0,,0,0,0,,999,sa3011257
Will Wilson,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.214,0.284,0.363,0.647,0.285,84,,0,0,,0,0,0,,999,sa3009871
Riley Unroe,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.218,0.291,0.331,0.622,0.278,84,,0,0,,0,0,0,,999,sa737614
Jonathan Ornelas,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.29,0.36,0.65,0.285,84,,0,0,,0,0,0,,999,sa3006909
Christian Koss,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.242,0.285,0.388,0.673,0.292,84,,0,0,,0,0,0,,999,sa3011227
Eddys Leonard,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.225,0.281,0.364,0.644,0.284,83,,0,0,,0,0,0,,999,sa3005554
José Rondón,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.229,0.291,0.391,0.682,0.299,93,,0,0,,0,0,0,,999,14140
Kyren Paris,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.215,0.295,0.346,0.64,0.285,83,,0,0,,0,0,0,,999,sa3011768
Pablo Reyes,OAK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.235,0.3,0.373,0.673,0.296,97,,0,0,,0,0,0,,999,16357
Darell Hernaiz,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.285,0.358,0.643,0.282,82,,0,0,,0,0,0,,999,sa3011309
